,County[18],Clinton percentage,Clinton Votes,Trump percentage,Trump Votes,Johnson percentage,Johnson Votes,Write-in percentage,Write-in Votes,Stein percentage,Stein Votes,Totals
147,Pitt, 0.5194 ," 41,824.0000 ", 0.4432 ," 35,691.0000 ", 0.0268 ," 2,162.0000 ", 0.0084 , 680.0000 , 0.0021 , 170.0000 ," 80,527.00 "
149,Polk, 0.3416 ," 3,735.0000 ", 0.6190 ," 6,768.0000 ", 0.0249 , 272.0000 , 0.0098 , 107.0000 , 0.0048 , 52.0000 ," 10,934.00 "
151,Randolph, 0.2043 ," 13,194.0000 ", 0.7655 ," 49,430.0000 ", 0.0217 ," 1,403.0000 ", 0.0069 , 446.0000 , 0.0016 , 102.0000 ," 64,575.00 "
153,Richmond, 0.4398 ," 8,501.0000 ", 0.5372 ," 10,383.0000 ", 0.0172 , 333.0000 , 0.0045 , 87.0000 , 0.0012 , 24.0000 ," 19,328.00 "
155,Robeson, 0.4654 ," 19,016.0000 ", 0.5082 ," 20,762.0000 ", 0.0197 , 803.0000 , 0.0062 , 252.0000 , 0.0006 , 25.0000 ," 40,858.00 "
157,Rockingham, 0.3365 ," 14,228.0000 ", 0.6346 ," 26,830.0000 ", 0.0206 , 871.0000 , 0.0070 , 294.0000 , 0.0013 , 55.0000 ," 42,278.00 "
159,Rowan, 0.3014 ," 19,400.0000 ", 0.6651 ," 42,810.0000 ", 0.0236 ," 1,517.0000 ", 0.0088 , 564.0000 , 0.0012 , 78.0000 ," 64,369.00 "
161,Rutherford, 0.2480 ," 7,515.0000 ", 0.7216 ," 21,869.0000 ", 0.0206 , 624.0000 , 0.0086 , 261.0000 , 0.0013 , 39.0000 ," 30,308.00 "
163,Sampson, 0.4068 ," 10,547.0000 ", 0.5723 ," 14,838.0000 ", 0.0152 , 393.0000 , 0.0058 , 150.0000 , -   , -   ," 25,928.00 "
165,Scotland, 0.5255 ," 7,319.0000 ", 0.4492 ," 6,256.0000 ", 0.0182 , 254.0000 , 0.0052 , 73.0000 , 0.0019 , 26.0000 ," 13,928.00 "
167,Stanly, 0.2371 ," 7,094.0000 ", 0.7342 ," 21,964.0000 ", 0.0222 , 664.0000 , 0.0056 , 169.0000 , 0.0009 , 26.0000 ," 29,917.00 "
169,Stokes, 0.2069 ," 4,665.0000 ", 0.7590 ," 17,116.0000 ", 0.0253 , 571.0000 , 0.0077 , 173.0000 , 0.0011 , 25.0000 ," 22,550.00 "
171,Surry, 0.2326 ," 9,005.0000 ", 0.7352 ," 23,671.0000 ", 0.0230 , 739.0000 , 0.0078 , 250.0000 , 0.0015 , 48.0000 ," 32,196.00 "
173,Swain, 0.3586 ," 2,196.0000 ", 0.5824 ," 3,566.0000 ", 0.0392 , 240.0000 , 0.0150 , 92.0000 , 0.0047 , 27.0000 ," 6,123.00 "
175,Transylvania, 0.3670 ," 6,558.0000 ", 0.5887 ," 10,520.0000 ", 0.0274 , 489.0000 , 0.0123 , 220.0000 , 0.0046 , 82.0000 ," 17,869.00 "
177,Tyrrell, 0.4140 , 720.0000 , 0.5607 , 975.0000 , 0.0161 , 28.0000 , 0.0063 , 11.0000 , 0.0029 , 5.0000 ," 1,739.00 "
179,Union, 0.3248 ," 34,335.0000 ", 0.6310 ," 66,705.0000 ", 0.0315 ," 3,327.0000 ", 0.0111 ," 1,176.0000 ", 0.0015 , 163.0000 ," 105,706.00 "
181,Vance, 0.6122 ," 12,229.0000 ", 0.3670 ," 7,332.0000 ", 0.0147 , 294.0000 , 0.0049 , 97.0000 , 0.0013 , 25.0000 ," 19,977.00 "
183,Wake, 0.5738 ," 302,569.0000 ", 0.3716 ," 195,984.0000 ", 0.0369 ," 19,445.0000 ", 0.0144 ," 7,600.0000 ", 0.0033 ," 1,739.0000 "," 527,337.00 "
185,Warren, 0.6517 ," 6,419.0000 ", 0.3264 ," 3,215.0000 ", 0.0149 , 147.0000 , 0.0070 , 69.0000 , -   , -   ," 9,850.00 "
187,Washington, 0.5693 ," 3,509.0000 ", 0.4160 ," 2,564.0000 ", 0.0105 , 65.0000 , 0.0041 , 25.0000 , 0.0002 , 1.0000 ," 6,164.00 "
189,Watauga, 0.4715 ," 14,138.0000 ", 0.4568 ," 13,697.0000 ", 0.0446 ," 1,336.0000 ", 0.0180 , 539.0000 , 0.0092 , 275.0000 ," 29,985.00 "
191,Wayne, 0.4295 ," 21,769.0000 ", 0.5433 ," 27,540.0000 ", 0.0190 , 963.0000 , 0.0076 , 383.0000 , 0.0007 , 33.0000 ," 50,688.00 "
193,Wilkes, 0.2121 ," 6,638.0000 ", 0.7589 ," 23,752.0000 ", 0.0207 , 647.0000 , 0.0073 , 228.0000 , 0.0010 , 31.0000 ," 31,296.00 "
195,Wilson, 0.5156 ," 19,663.0000 ", 0.4597 ," 17,531.0000 ", 0.0175 , 667.0000 , 0.0067 , 256.0000 , 0.0005 , 18.0000 ," 38,135.00 "
197,Yadkin, 0.1793 ," 3,160.0000 ", 0.7876 ," 13,880.0000 ", 0.0226 , 398.0000 , 0.0086 , 152.0000 , 0.0019 , 34.0000 ," 17,624.00 "
199,Yancey, 0.3209 ," 3,196.0000 ", 0.6411 ," 6,385.0000 ", 0.0262 , 261.0000 , 0.0077 , 77.0000 , 0.0041 , 41.0000 ," 9,960.00 "
