"","state","county","cz","czname","hhinc_mean2000","mean_commutetime2000","frac_coll_plus2000","frac_coll_plus2010","foreign_share2010","med_hhinc1990","med_hhinc2016","poor_share2010","poor_share2000","poor_share1990","share_white2010","share_black2010","share_hisp2010","share_asian2010","share_black2000","share_white2000","share_hisp2000","share_asian2000","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2010","singleparent_share1990","singleparent_share2000","traveltime15_2010","emp2000","mail_return_rate2010","ln_wage_growth_hs_grad","popdensity2010","popdensity2000","ann_avg_job_growth_2004_2013","job_density_2013","county_name","district","split","X","County.18.","Clinton.percentage","Clinton.Votes","Trump.percentage","Trump.Votes","Johnson.percentage","Johnson.Votes","Write.in.percentage","Write.in.Votes","Stein.percentage","Stein.Votes","Totals","Republican.percentage"
"21",37,39,1204,"Andrews",53871.258,23.654089,0.11153402,0.16088113,0.024872152,19245.4182914658,35245.0210610698,0.1318804,0.15450329,0.20618029,0.9233712,0.017052907,0.025069231,0.0042632269,0.0170832,0.94215935,0.012407131,0.0028455949,3.1923664,676.70569,0.24297614,0.1674587,0.24070308,0.33551008,0.50819904,84.593353,NA,60.260063,53.352245,0.010433481,22.453703,"Cherokee",11,"",39,"Cherokee",0.2017," 2,860.0000 ",0.7647," 10,844.0000 ",0.0244," 346.0000 ",0.0069," 98.0000 "," 0.0023 "," 33.0000 "," 14,181.00 ",0.351314640535558
"22",37,41,2000,"Virginia Beach",55801.172,26.118969,0.16403723,0.15794101,0.03414461,20428.3033191374,40852.9699182046,0.17324007,0.17600809,0.17611919,0.61109984,0.34685326,0.031568985,0.0032447779,0.37187153,0.60293597,0.015126028,0.0025023601,3.5908484,725.99689,0.39267707,0.21808368,0.35632032,0.42297226,0.52603728,85.694252,NA,85.769943,84.221878,-0.026888328,29.90613,"Chowan",3,"",41,"Chowan",0.4139," 2,992.0000 ",0.5553," 4,014.0000 ",0.0224," 162.0000 ",0.0068," 49.0000 "," 0.0015 "," 11.0000 "," 7,228.00 ",0.645618556701031
"23",37,43,1204,"Andrews",58846.676,25.612358,0.15381449,0.18638816,0.022338266,18753.4500802871,38381.6364409181,0.21451072,0.11443724,0.17810373,0.95211107,0.0093510915,0.02436951,0.0019835646,0.0086958092,0.97267175,0.0083772102,0.00091133447,3.4977605,653.25653,0.21382493,0.16359438,0.23506536,0.39838055,0.51239729,85.904083,-0.15479229,49.299183,40.861465,-0.01398834,17.22468,"Clay",11,"",43,"Clay",0.2275," 1,367.0000 ",0.7383," 4,437.0000 ",0.0238," 143.0000 ",0.009," 54.0000 "," 0.0015 "," 9.0000 "," 6,010.00 ",0.342465753424658
"24",37,45,800,"Gastonia",64906.695,24.625957,0.13289653,0.15887479,0.021918563,27223.1335037527,39683.4023022492,0.18906821,0.12942217,0.10275813,0.74219501,0.21474744,0.028100083,0.0038730854,0.20284422,0.76967984,0.014899785,0.0034329738,4.0252604,618.74841,0.40797663,0.22206201,0.30514964,0.3334192,0.60748082,81.863602,0.084640585,211.26071,207.14822,-0.0040814853,90.711708,"Cleveland",5,"",45,"Cleveland",0.335," 14,961.0000 ",0.6375," 28,474.0000 ",0.019," 850.0000 ",0.0068," 305.0000 "," 0.0017 "," 75.0000 "," 44,665.00 ",0.543117936829904
"25",37,47,1500,"Wilmington",52921.516,27.808716,0.1004632,0.12021653,0.02864423,18820.4625804675,37392.9565389514,0.21434979,0.22620721,0.23787156,0.6036008,0.30994183,0.045819134,0.0022031739,0.30934635,0.63223034,0.023468236,0.0018913558,2.2788014,591.38831,0.42569983,0.2396847,0.33671534,0.28038999,0.49555686,79.150101,NA,61.984886,58.411831,-0.0026592682,23.049356,"Columbus",7,"",47,"Columbus",0.3818," 9,053.0000 ",0.6015," 14,264.0000 ",0.0129," 305.0000 ",0.0038," 91.0000 "," -   "," -   "," 23,713.00 ",0.743215253067077
"26",37,49,1900,"Jacksonville",66082.539,22.491011,0.1898838,0.20628922,0.047207236,27469.6920754473,50190.044142795,0.15249409,0.12793024,0.12400232,0.67074054,0.23266509,0.060596108,0.012497229,0.24861486,0.69299412,0.036566719,0.0086593209,3.5582867,813.591,0.36857966,0.219119,0.29513744,0.39051816,0.51866633,82.095047,-0.001375769,145.99615,128.97256,-0.0011958906,53.410854,"Craven",3,"",49,"Craven",0.3752," 17,629.0000 ",0.5899," 27,722.0000 ",0.0257," 1,210.0000 ",0.0081," 380.0000 "," 0.0011 "," 50.0000 "," 46,991.00 ",0.483762856812666
"27",37,51,1400,"Fayetteville",67767.07,23.755812,0.19029348,0.21612188,0.057829175,26987.2758817393,47151.711820087,0.16573645,0.12360456,0.13155843,0.47192979,0.37768719,0.094511807,0.019244501,0.34795594,0.53690946,0.065025255,0.016394338,3.2660248,756.76801,0.42335474,0.23553281,0.32144231,0.30397516,0.50975603,76.849564,0.10992497,518.02533,491.31635,0.0016931897,181.19411,"Cumberland",8,"",51,"Cumberland",0.5616," 71,605.0000 ",0.4021," 51,265.0000 ",0.0265," 3,373.0000 ",0.0085," 1,084.0000 "," 0.0014 "," 179.0000 "," 127,506.00 ",0.667942230655703
"28",37,53,2000,"Virginia Beach",71761.164,37.677868,0.12164859,0.17032926,0.033098742,28414.0924687903,61929.2506901091,0.085827149,0.10526424,0.098286249,0.88656729,0.063659914,0.029897653,0.0056968131,0.075714767,0.89370829,0.014496936,0.0030336177,3.6908188,818.39355,0.25195438,0.14119272,0.23250885,0.18082668,0.60318565,84.778427,-0.012743109,89.9245,69.466454,0.0054974467,44.341671,"Currituck",3,"",53,"Currituck",0.2299," 2,913.0000 ",0.7233," 9,163.0000 ",0.038," 482.0000 ",0.0066," 84.0000 "," 0.0021 "," 27.0000 "," 12,669.00 ",0.358407079646018
"29",37,55,2100,"Washington",80444.703,20.666342,0.27452219,0.31544703,0.05000006,30540.7624881215,55774.2708431604,0.10506965,0.080433562,0.081453159,0.88623232,0.030542452,0.065153301,0.0051658163,0.029561745,0.93464524,0.022389702,0.0027322578,3.5174074,936.69818,0.34920663,0.17644091,0.25637516,0.45344409,0.64647192,86.576859,0.038892645,88.466957,78.157112,-0.017111059,47.584892,"Dare",3,"",55,"Dare",0.3681," 7,323.0000 ",0.5843," 11,626.0000 ",0.0347," 690.0000 ",0.0103," 205.0000 "," 0.0026 "," 52.0000 "," 19,896.00 ",0.494942366502
"30",37,57,500,"Greensboro",68960.469,23.761534,0.13022503,0.16526523,0.046027064,28804.3812913803,45866.6518437113,0.1459323,0.097480491,0.094978228,0.81954592,0.093204729,0.06390059,0.0051345695,0.086416222,0.86642969,0.030239765,0.0029902742,3.6202135,617.10468,0.29750374,0.19542086,0.25532076,0.28439456,0.6468274,81.794167,0.033003159,294.70847,266.42184,-0.00046595198,131.72118,"Davidson",13,"",57,"Davidson",0.2419," 18,102.0000 ",0.7256," 54,304.0000 ",0.0248," 1,858.0000 ",0.0065," 484.0000 "," 0.0012 "," 87.0000 "," 74,835.00 ",0.323061392101841
